pdp_images_s3,category_type,image_url,distance,exact_match
"['https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_1.jpg', 'https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_2.jpg', 'https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_3.jpg', 'https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_4.jpg', 'https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_5.jpg', 'https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_6.jpg', 'https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_7.jpg', 'https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_8.jpg']",jeans,https://gallery.stylumia.com/originals/2024/10/7/20d532dad9db05f0bdcbdc1f44590c4318759250805965ee47fe25fa16644c68_1.jpg,0.9519524,True
"['https://gallery.stylumia.com/originals/2024/12/321/3bf4525dfc71964d7b5df5f5f5e072dcae4351795ec66fbff9df29044f2fba6b_1.jpg', 'https://gallery.stylumia.com/originals/2024/12/321/3bf4525dfc71964d7b5df5f5f5e072dcae4351795ec66fbff9df29044f2fba6b_2.jpg', 'https://gallery.stylumia.com/originals/2024/12/321/3bf4525dfc71964d7b5df5f5f5e072dcae4351795ec66fbff9df29044f2fba6b_3.jpg', 'https://gallery.stylumia.com/originals/2024/12/321/3bf4525dfc71964d7b5df5f5f5e072dcae4351795ec66fbff9df29044f2fba6b_4.jpg', 'https://gallery.stylumia.com/originals/2024/12/321/3bf4525dfc71964d7b5df5f5f5e072dcae4351795ec66fbff9df29044f2fba6b_5.jpg', 'https://gallery.stylumia.com/originals/2024/12/321/3bf4525dfc71964d7b5df5f5f5e072dcae4351795ec66fbff9df29044f2fba6b_6.jpg']",jeans,https://gallery.stylumia.com/originals/2024/12/321/3bf4525dfc71964d7b5df5f5f5e072dcae4351795ec66fbff9df29044f2fba6b_1.jpg,0.9381531,False
"['https://gallery.stylumia.com/originals/2024/08/321/368003f1d38d23ee35c5fb2daa82970a20016750925a21dfb728cfbf6d8d7f1f_1.jpg', 'https://gallery.stylumia.com/originals/2024/08/321/368003f1d38d23ee35c5fb2daa82970a20016750925a21dfb728cfbf6d8d7f1f_2.jpg', 'https://gallery.stylumia.com/originals/2024/08/321/368003f1d38d23ee35c5fb2daa82970a20016750925a21dfb728cfbf6d8d7f1f_3.jpg', 'https://gallery.stylumia.com/originals/2024/08/321/368003f1d38d23ee35c5fb2daa82970a20016750925a21dfb728cfbf6d8d7f1f_4.jpg', 'https://gallery.stylumia.com/originals/2024/08/321/368003f1d38d23ee35c5fb2daa82970a20016750925a21dfb728cfbf6d8d7f1f_5.jpg', 'https://gallery.stylumia.com/originals/2024/08/321/368003f1d38d23ee35c5fb2daa82970a20016750925a21dfb728cfbf6d8d7f1f_6.jpg', 'https://gallery.stylumia.com/originals/2024/08/321/368003f1d38d23ee35c5fb2daa82970a20016750925a21dfb728cfbf6d8d7f1f_7.jpg']",jeans,https://gallery.stylumia.com/originals/2024/08/321/368003f1d38d23ee35c5fb2daa82970a20016750925a21dfb728cfbf6d8d7f1f_1.jpg,0.93644077,False
"['https://gallery.stylumia.com/originals/2022/11/299/44ebf2c99c79d4ec4281ec0afa9ad0dc634a4a3102e801d05f6d94da933679bc_1.jpg', 'https://gallery.stylumia.com/originals/2022/11/299/44ebf2c99c79d4ec4281ec0afa9ad0dc634a4a3102e801d05f6d94da933679bc_2.jpg', 'https://gallery.stylumia.com/originals/2022/11/299/44ebf2c99c79d4ec4281ec0afa9ad0dc634a4a3102e801d05f6d94da933679bc_3.jpg', 'https://gallery.stylumia.com/originals/2022/11/299/44ebf2c99c79d4ec4281ec0afa9ad0dc634a4a3102e801d05f6d94da933679bc_4.jpg']",jeans,https://gallery.stylumia.com/originals/2022/11/299/44ebf2c99c79d4ec4281ec0afa9ad0dc634a4a3102e801d05f6d94da933679bc_1.jpg,0.9342374,False
"['https://gallery.stylumia.com/originals/2025/02/321/c9645dc2c634ba3aa1fe39b2b2487d51bc7aec478ac6c27b230b9c13fdad7d78_1.jpg', 'https://gallery.stylumia.com/originals/2025/02/321/c9645dc2c634ba3aa1fe39b2b2487d51bc7aec478ac6c27b230b9c13fdad7d78_2.jpg', 'https://gallery.stylumia.com/originals/2025/02/321/c9645dc2c634ba3aa1fe39b2b2487d51bc7aec478ac6c27b230b9c13fdad7d78_3.jpg', 'https://gallery.stylumia.com/originals/2025/02/321/c9645dc2c634ba3aa1fe39b2b2487d51bc7aec478ac6c27b230b9c13fdad7d78_4.jpg', 'https://gallery.stylumia.com/originals/2025/02/321/c9645dc2c634ba3aa1fe39b2b2487d51bc7aec478ac6c27b230b9c13fdad7d78_5.jpg', 'https://gallery.stylumia.com/originals/2025/02/321/c9645dc2c634ba3aa1fe39b2b2487d51bc7aec478ac6c27b230b9c13fdad7d78_6.jpg', 'https://gallery.stylumia.com/originals/2025/02/321/c9645dc2c634ba3aa1fe39b2b2487d51bc7aec478ac6c27b230b9c13fdad7d78_7.jpg']",jeans,https://gallery.stylumia.com/originals/2025/02/321/c9645dc2c634ba3aa1fe39b2b2487d51bc7aec478ac6c27b230b9c13fdad7d78_1.jpg,0.92961514,False
